Report Number,Date,Time,Collision Day of Week,Primary Road,Secondary Road,X,Y,Latitude,Longitude,Highest Degree of Injury,Number Injured,Number Killed,Party at Fault,Primary Collision Factor,Hit and Run,Collision Type,Involved With,Pedestrian Action,Violation,Violation Subsection,Weather,Road Condition1,Lighting,Right of Way Controls,Party Type 1,Party Age 1,Party Sex 1,Movement Preceding Collision 1,special information 1,Associated Cause - Factor 1 1,Party Sobriety 1 1,Party Type 2,Party Age 2,Party Sex 2,Movement Preceding Collision 2,special information 2,Associated Cause - Factor 1 2,Party Sobriety 1 2,Safety Equipment 2
201500003682,1/28/2015,13:30,Wednesday,WILLOW RD,GIBRALTAR DR (N),6157128,2078870,37.69581391,-121.8982815,Other Visible Injury,2,0,1,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,23,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,78,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800003785,1/28/2018,03:30,Sunday,FIRST ST,RAY ST,6165054.347,2066708.732,37.66273142,-121.8702224,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,22,Male,Making Right Turn,Cell Phone Not In Use,Inattention,HNBD,,,,,,,,
201900003242,1/28/2019,15:50,Monday,VALLEY AV,HOPYARD RD,6157371,2071600,37.67589389,-121.8970003,Complaint of Pain,1,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,63,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,49,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
20114993,1/29/2011,11:47,Saturday,SANTA RITA RD,SILVER ST (W),6164287.686,2069105.239,37.66929223,-121.8730738,Other Visible Injury,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Daylight,None,Driver,38,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,34,Male,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100005013,1/29/2011,14:45,Saturday,SANTA RITA RD,OLD SANTA RITA RD,6162916,2078279,37.69447926,-121.8782968,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Bicycle,No Pedestrian Involved,21804,,Cloudy,No Unusual Condition,Daylight,Functioning,Bicyclist,18,Male,Proceeding Straight,Cell Phone Not In Use,Violation,HNBD,Driver,17,Female,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
2013-00003933,1/29/2013,08:00,Tuesday,VALLEY AV,GREENWOOD RD,6162094.009,2071802.222,37.67669867,-121.8806525,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,27,Male,Proceeding Straight,Cell Phone Not In Use,Inattention,HNBD,Driver,39,Female,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201500003780,1/29/2015,07:52,Thursday,BERNAL AV,MAIN ST,6162507,2064475,37.65659715,-121.8790218,Complaint of Pain,2,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21802,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,35,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,33,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201700003563,1/29/2017,,Sunday,SUNOL BL,SYCAMORE RD,6161721,2060192,37.64482606,-121.8814239,Property Damage Only,0,0,1,Improper Turning,Misdemeanor,Head-On,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,23,Male,Other Unsafe Turning,Cell Phone Not In Use,None Apparent,Not Applicable,,,,,,,,
201700003587,1/29/2017,11:11,Sunday,ROSEWOOD DR,SANTA RITA RD,6163654.909,2079758.94,37.69854344,-121.875743,Property Damage Only,0,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,25,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,47,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800003896,1/29/2018,06:43,Monday,FIRST ST,ABBIE ST,6163502.269,2064995.479,37.65802649,-121.8755839,Other Visible Injury,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,52,Male,Proceeding Straight,Cell Phone Not In Use,Other,HNBD,Driver,45,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,M/C Helmet Driver - Yes
201800003945,1/29/2018,12:24,Monday,FOOTHILL RD,OFF RAMP EB I580 TO FOOTHILL RD,6146565.36,2079531.482,37.69731313,-121.9346992,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,36,Male,Proceeding Straight,Cell Phone Handsfree In Use,None Apparent,HNBD,,,,,,,,
201800003947,1/29/2018,12:55,Monday,FOOTHILL RD,ON RAMP EB I580 FROM NB FOOTHILL RD,6146578.904,2079457.716,37.69711055,-121.9346524,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,57,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,52,Female,Stopped In Road,Cell Phone Handsfree In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800003960,1/29/2018,15:02,Monday,BERNAL AV,CASE AV,6161770,2064642,37.65703217,-121.8813905,Other Visible Injury,1,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,38,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,37,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
2011000368,1/3/2011,13:08,Monday,STONERIDGE DR,HOPYARD RD,6155741.912,2077284.063,37.69145864,-121.9030719,Property Damage Only,1,0,,Auto R/W Violation,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,21803,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,41,Not Stated,Merging,Not Stated,Not Stated,HNBD,Driver,31,Not Stated,Making Right Turn,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
2013-00000219,1/3/2013,03:00,Thursday,STANLEY BL,VALLEY AV,6168848.234,2069434.521,37.67039732,-121.8572994,Complaint of Pain,1,0,1,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,23152,A,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,48,Male,Proceeding Straight,Cell Phone Not In Use,Violation,HBD Under Influence,,,,,,,,
2013-00000225,1/3/2013,07:17,Thursday,GIBRALTAR DR,WILLOW RD (N),6157128,2078870,37.69581391,-121.8982815,Complaint of Pain,1,0,1,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk at Intersection,21950,A,Clear,No Unusual Condition,Dusk - Dawn,Functioning,Driver,38,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Pedestrian,36,Female,,,None Apparent,HNBD,
201500000239,1/3/2015,08:28,Saturday,SANTA RITA RD,LAS POSITAS BL,6162794.769,2077452.141,37.69229033,-121.8784546,Other Visible Injury,1,0,,Other Than Driver,No,Overturned,Non-Collision,No Pedestrian Involved,,,Clear,No Unusual Condition,Daylight,Functioning,Bicyclist,59,Female,Proceeding Straight,Cell Phone Not In Use,Defective Vehicle Equipment,HNBD,,,,,,,,
201500000288,1/3/2015,15:02,Saturday,ROSEWOOD DR,OLD SANTA RITA RD,6161549.855,2080638.838,37.70095979,-121.8830185,Complaint of Pain,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,21,Male,Passing Other Vehicle,Cell Phone Not In Use,Vision Obscurements,HNBD,,,,,,,,
201500000301,1/3/2015,16:34,Saturday,JOHNSON DR,OWENS DR (N),6154435.688,2080182.553,37.69941842,-121.9075864,Complaint of Pain,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,58,Female,Making Left Turn,Cell Phone Not In Use,Other,HNBD,,,,,,,,
201800000285,1/3/2018,08:15,Wednesday,BERNAL AV,CASE AV,6161690.251,2064671.409,37.65711293,-121.8816659,Complaint of Pain,1,0,1,Unsafe Speed,No,Overturned,Non-Collision,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,21,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201800000346,1/3/2018,17:03,Wednesday,LAS POSITAS BL,DORMAN RD,6155042.381,2073675.575,37.68151248,-121.9052505,Severe Injury,1,0,1,Other Than Driver,No,Hit Object,Fixed Object,No Pedestrian Involved,,,Cloudy,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,,,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201900000259,1/3/2019,10:26,Thursday,ROSEWOOD DR,ROSE PAVILION,6163655,2079749,37.69851614,-121.8757427,Complaint of Pain,1,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,42,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,56,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201900000297,1/3/2019,17:26,Thursday,STONERIDGE MALL RD,WORKDAY WY,6149386.314,2078680.257,37.69497551,-121.9249499,Complaint of Pain,2,0,1,Unsafe Starting or Backing,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22106,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,57,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,46,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201204119,1/30/2012,08:29,Monday,HOPYARD RD,LAS POSITAS BL,6155405.814,2073730.321,37.68166283,-121.9039947,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Daylight,Functioning,Driver,56,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,40,Female,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201400004586,1/30/2014,14:58,Thursday,ABBIE ST,FIRST ST,6163462,2064951,37.65790434,-121.875723,Complaint of Pain,1,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21802,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,17,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,55,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600003460,1/30/2016,16:15,Saturday,FOOTHILL RD,PURI CT,6151300.662,2068092.308,37.66605549,-121.9178817,Complaint of Pain,1,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Cloudy,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,46,Female,Other Unsafe Turning,Cell Phone Not In Use,Inattention,HNBD,,,,,,,,
201700003692,1/30/2017,08:23,Monday,MAIN ST,DEL VALLE PW,6164068.963,2067701.458,37.66545764,-121.8736264,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,31,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,53,Male,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800004027,1/30/2018,06:00,Tuesday,FIRST ST,ARENDT WY,6164285.935,2065863.698,37.66041079,-121.8728769,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,25,Male,Slowing/Stopping,Cell Phone Not In Use,None Apparent,HNBD,Driver,52,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201000005288,1/31/2010,12:37,Sunday,HOPYARD RD,LAS POSITAS BL,6155422.279,2073842.789,37.68197168,-121.9039378,Property Damage Only,0,0,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,34,Not Stated,Making Right Turn,Not Stated,Violation,HNBD,,,,,,,,
201105253,1/31/2011,08:25,Monday,SUNOL BL,BERNAL AV,6162876.769,2064328.313,37.65619432,-121.8777445,Complaint of Pain,1,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Fog,No Unusual Condition,Daylight,Functioning,Driver,45,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,36,Male,Stopped in Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
20110005339,1/31/2011,16:25,Monday,VALLEY AV,HOPYARD RD,6157288.376,2071499.639,37.67561828,-121.8972858,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,None,Driver,18,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,51,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100005384,1/31/2011,21:52,Monday,ST MARYS ST,DIVISION ST,6162105.748,2067197.09,37.6639575,-121.8804621,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,,Not Stated,Ran Off Road,Not Stated,Not Stated,Impairment Not Known,,,,,,,,
201204266,1/31/2012,06:27,Tuesday,VALLEY AV,NORTHWAY RD (W),6158417,2071864,37.67661889,-121.8933862,Complaint of Pain,1,0,1,Unknown,Felony,Broadside,Bicycle,No Pedestrian Involved,22450,,Cloudy,No Unusual Condition,Dark - Street Lights,Functioning,Driver,,,Proceeding Straight,,None Apparent,Impairment Not Known,Bicyclist,50,Male,Proceeding Straight,Not Stated,None Apparent,HNBD,Not Stated
2013-00004236,1/31/2013,07:34,Thursday,FOOTHILL RD,FOOTHILL PL,6154535.616,2062767.773,37.65160096,-121.9063055,Complaint of Pain,1,0,1,Improper Turning,No,Sideswipe,Bicycle,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,None,Driver,60,Female,Other Unsafe Turning,Cell Phone Not In Use,Vision Obscurements,HNBD,Bicyclist,16,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,M/C Helmet Driver - Yes
2013-00004248,1/31/2013,09:09,Thursday,HOPYARD RD,OWENS DR,6155268.075,2080055.187,37.69906865,-121.9047095,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,41,Male,Proceeding Straight,Cell Phone Not In Use,Inattention,HNBD,Driver,45,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Not Used
201400004830,1/31/2014,20:36,Friday,BERNAL AV,VINEYARD AV (N),6169213,2067394,37.66490599,-121.855794,Other Visible Injury,2,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,C,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,18,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,55,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201500004180,1/31/2015,18:25,Saturday,FOOTHILL RD,OFF RAMP WB I580 TO FOOTHILL RD,6146449.616,2080210.292,37.69917727,-121.9350992,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,32,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,20,Female,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
20180004269,1/31/2018,12:41,Wednesday,HACIENDA DR,OFF RAMP WB I580 TO HACIENDA DR,6160109,2081379,37.70299241,-121.8879987,Other Visible Injury,1,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,35,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,67,Male,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800004278,1/31/2018,13:32,Wednesday,SUNOL BL,RIDDELL ST,6160922.6,2058502.202,37.64003791,-121.8840318,Property Damage Only,0,0,1,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21804,A,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,22,Female,Proceeding Straight,Cell Phone Not In Use,Entering - Leaving Ramp,HNBD,Driver,25,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800004287,1/31/2018,14:45,Wednesday,BERNAL AV,KOLL CENTER DR,6156608.724,2064929.15,37.65762969,-121.899316,Property Damage Only,0,0,1,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,23152,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,30,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,Under Drug Influence,Driver,27,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201800004309,1/31/2018,17:00,Wednesday,STONERIDGE DR,RIALTO WY,6159663.725,2077374.311,37.69185455,-121.8894264,Complaint of Pain,1,0,1,Other Improper Driving,No,Sideswipe,Bicycle,No Pedestrian Involved,,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Bicyclist,57,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,53,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201900003606,1/31/2019,18:38,Thursday,STONERIDGE DR,HOPYARD RD,6155508.004,2077290.481,37.69147627,-121.9038803,Property Damage Only,0,0,1,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dusk - Dawn,Functioning,Driver,26,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,45,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100000506,1/4/2011,06:29,Tuesday,SANTA RITA RD,STONERIDGE DR,6163003,2075864,37.687929,-121.877735,Property Damage Only,1,0,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,21453,,Fog,No Unusual Condition,Dark - Street Lights,Functioning,Driver,32,Not Stated,Making Left Turn,Not Stated,Not Stated,HNBD,Driver,48,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201100510,1/4/2011,07:56,Tuesday,VALLEY AV,KOLLN ST,6165507.069,2071595.747,37.67618421,-121.8688879,Property Damage Only,0,0,,Unsafe Lane Change,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,21658,,Fog,No Unusual Condition,Daylight,Functioning,Driver,48,Not Stated,Changing Lanes,Not Stated,Not Stated,HNBD,Driver,49,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Not Stated
201200000416,1/4/2012,17:34,Wednesday,STONERIDGE DR,HACIENDA DR,6158476.055,2077310.922,37.69168047,-121.8935308,Property Damage Only,0,0,1,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,None,Driver,41,Male,Ran Off Road,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
2013-00000367,1/4/2013,10:33,Friday,STONERIDGE MALL RD,EMBARCADERO CT,6148887.742,2079669.534,37.69769225,-121.9266728,Property Damage Only,0,0,1,Auto R/W Violation,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21801,A,Clear,No Unusual Condition,Daylight,Functioning,Driver,23,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Driver,20,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201500000341,1/4/2015,00:12,Sunday,SANTA RITA RD,VALLEY AV,6164025.245,2071925.79,37.67709057,-121.8740078,Property Damage Only,0,0,1,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,21,Male,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201700000360,1/4/2017,11:35,Wednesday,SANTA RITA RD,ROSEWOOD DR,6163930.218,2079149.357,37.69686941,-121.8747916,Complaint of Pain,2,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Raining,No Unusual Condition,Daylight,Functioning,Driver,27,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,49,Female,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201100000725,1/5/2011,12:25,Wednesday,VALLEY AV,BUSCH RD,6167240,2071281,37.67546811,-121.8628558,Fatal,0,1,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Daylight,Functioning,Driver,86,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Driver,43,Not Stated,Stopped in Road,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201100000788,1/5/2011,18:35,Wednesday,BERNAL AV,ON RAMP SB I680 FROM BERNAL AVE,6155623,2064471,37.65637152,-121.9027209,Property Damage Only,2,0,,Traffic Signals and Signs,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,21453,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,47,Not Stated,Proceeding Straight,Not Stated,Not Stated,HNBD,Driver,39,Not Stated,Making Left Turn,Not Stated,Not Stated,HNBD,Lap/Shoulder Harness Used
201200000477,1/5/2012,08:45,Thursday,VALLEY AV,PASEO SANTA CRUZ (N),6156897,2070981,37.674194,-121.898638,Complaint of Pain,1,0,1,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,22450,,Clear,No Unusual Condition,Daylight,Functioning,Driver,36,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,59,Female,Making Left Turn,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201500000545,1/5/2015,14:08,Monday,FAIRLANDS DR,GRESHAM CT,6163596.194,2078413.759,37.69484933,-121.875946,Property Damage Only,0,0,1,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,22107,,Clear,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,42,Male,Other Unsafe Turning,Cell Phone Not In Use,Inattention,HNBD,Parked Vehicle,,,Parked,,,Not Applicable,
201500000562,1/5/2015,17:03,Monday,OLD SANTA RITA RD,SANTA RITA RD,6162858.382,2078311.189,37.69456765,-121.8784959,Property Damage Only,0,0,1,Unsafe Starting or Backing,No,Hit Object,Fixed Object,No Pedestrian Involved,22106,,Clear,No Unusual Condition,Dusk - Dawn,Functioning,Driver,,,Backing,Cell Phone Not In Use,Violation,HBD Impairment Unknown,,,,,,,,
201600000426,1/5/2016,07:28,Tuesday,BERNAL AV,AMANDA PL,6166572.974,2062651.64,37.65170776,-121.8647865,Property Damage Only,0,0,1,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,22350,,Raining,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,17,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
201600000498,1/5/2016,17:01,Tuesday,FIRST ST,ANGELA ST,6163722.825,2065239.089,37.65869549,-121.8748221,Property Damage Only,0,0,1,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,22350,,Cloudy,No Unusual Condition,Dark - Street Lights,Functioning,Driver,45,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,Sleepy - Fatigued,Driver,46,Male,Stopped In Road,Cell Phone Not In Use,None Apparent,HNBD,Lap/Shoulder Harness Used
201600000503,1/5/2016,17:30,Tuesday,BERNAL AV,MIRADOR DR,6165565,2062824,37.65218109,-121.868268,Complaint of Pain,1,0,1,Ped R/W Violation,No,Vehicle - Pedestrian,Pedestrian,Crossing In Crosswalk At Intersection,21950,A,Raining,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,46,Female,Making Right Turn,Cell Phone Not In Use,None Apparent,HNBD,Pedestrian,43,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,
201700000557,1/5/2017,18:41,Thursday,ROSEWOOD DR,SANTA RITA RD,6163770.771,2079293.474,37.69726518,-121.8753426,Property Damage Only,0,0,1,Unsafe Speed,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,22350,,Clear,No Unusual Condition,Dark - Street Lights,Functioning,Driver,51,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Driver,,,Stopped In Road,,None Apparent,Impairment Not Known,
201800000528,1/5/2018,02:52,Friday,HOLLAND DR,PAYNE RD (S),6153837,2073055,37.67980827,-121.9094155,Property Damage Only,0,0,1,Driving Under Influence,No,Hit Object,Other Object,No Pedestrian Involved,23152,A,Clear,No Unusual Condition,Dark - Street Lights,No Controls Present / Factor,Driver,19,Male,Making Left Turn,Cell Phone Not In Use,Violation,HBD Under Influence,,,,,,,,
201800000555,1/5/2018,09:04,Friday,MARIGOLD CT,COLUMBINE DR,6151197.133,2071468.561,37.67533659,-121.9183479,Property Damage Only,0,0,1,Other Equipment,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,,,Cloudy,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,53,Male,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,Parked Vehicle,,,Parked,Cell Phone Not In Use,None Apparent,Not Applicable,
201900000473,1/5/2019,11:55,Saturday,HOPYARD RD,LAS POSITAS BL,6155463.212,2074445.296,37.68362628,-121.9037963,Property Damage Only,0,0,1,Other Than Driver,No,Other,Other Object,No Pedestrian Involved,,,Raining,No Unusual Condition,Daylight,No Controls Present / Factor,Driver,40,Female,Proceeding Straight,Cell Phone Not In Use,None Apparent,HNBD,,,,,,,,
